tone	duration	order1	voice	order2	tonx	tony	abs.tone	rel.tone	tonx_m1	tony_m1	abs.tone_m1	rel.tone_m1	tonx_m2	tony_m2	abs.tone_m2	rel.tone_m2	tonx_p1	tony_p1	abs.tone_p1	rel.tone_p1	tonx_p2	tony_p2	abs.tone_p2	rel.tone_p2
D5	4	65	strings_v1	166	1	13	42	5	1	13	42	5	4	14	47	10	1	13	42	5	1	13	42	5
D5	4	65	strings_v1	167	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	3	15	50	1
D5	4	65	strings_v1	168	1	13	42	5	1	13	42	5	1	13	42	5	3	15	50	1	3	15	50	1
Bf5	2	67	strings_v1	173	3	15	50	1	1	13	42	5	1	13	42	5	3	15	50	1	1	15	49	12
Bf5	2	67	strings_v1	174	3	15	50	1	3	15	50	1	1	13	42	5	1	15	49	12	1	15	49	12
A5	2	68	strings_v1	175	1	15	49	12	3	15	50	1	3	15	50	1	1	15	49	12	1	15	49	12
A5	2	68	strings_v1	176	1	15	49	12	1	15	49	12	3	15	50	1	1	15	49	12	1	15	49	12
A5	4	70	strings_v1	177	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12
A5	4	70	strings_v1	178	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12
A5	4	70	strings_v1	179	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	7	15	52	3
A5	4	70	strings_v1	180	1	15	49	12	1	15	49	12	1	15	49	12	7	15	52	3	7	15	52	3
C6	4	71	strings_v1	181	7	15	52	3	1	15	49	12	1	15	49	12	7	15	52	3	7	15	52	3
C6	4	71	strings_v1	182	7	15	52	3	7	15	52	3	1	15	49	12	7	15	52	3	7	15	52	3
C6	4	71	strings_v1	183	7	15	52	3	7	15	52	3	7	15	52	3	7	15	52	3	2	14	46	9
C6	4	71	strings_v1	184	7	15	52	3	7	15	52	3	7	15	52	3	2	14	46	9	2	14	46	9
Fs5	4	72	strings_v1	185	2	14	46	9	7	15	52	3	7	15	52	3	2	14	46	9	2	14	46	9
Fs5	4	72	strings_v1	186	2	14	46	9	2	14	46	9	7	15	52	3	2	14	46	9	2	14	46	9
Fs5	4	72	strings_v1	187	2	14	46	9	2	14	46	9	2	14	46	9	2	14	46	9	1	15	49	12
Fs5	4	72	strings_v1	188	2	14	46	9	2	14	46	9	2	14	46	9	1	15	49	12	1	15	49	12
A5	4	73	strings_v1	189	1	15	49	12	2	14	46	9	2	14	46	9	1	15	49	12	1	15	49	12
A5	4	73	strings_v1	190	1	15	49	12	1	15	49	12	2	14	46	9	1	15	49	12	1	15	49	12
A5	4	73	strings_v1	191	1	15	49	12	1	15	49	12	1	15	49	12	1	15	49	12	4	14	47	10
A5	4	73	strings_v1	192	1	15	49	12	1	15	49	12	1	15	49	12	4	14	47	10	4	14	47	10
G5	4	75	strings_v1	193	4	14	47	10	1	15	49	12	1	15	49	12	4	14	47	10	4	14	47	10
G5	4	75	strings_v1	194	4	14	47	10	4	14	47	10	1	15	49	12	4	14	47	10	4	14	47	10
G5	4	75	strings_v1	195	4	14	47	10	4	14	47	10	4	14	47	10	4	14	47	10	3	15	50	1
G5	4	75	strings_v1	196	4	14	47	10	4	14	47	10	4	14	47	10	3	15	50	1	3	15	50	1
Bf5	4	76	strings_v1	197	3	15	50	1	4	14	47	10	4	14	47	10	3	15	50	1	3	15	50	1
Bf5	4	76	strings_v1	198	3	15	50	1	3	15	50	1	4	14	47	10	3	15	50	1	3	15	50	1
Bf5	4	76	strings_v1	199	3	15	50	1	3	15	50	1	3	15	50	1	3	15	50	1	1	15	49	12
Bf5	4	76	strings_v1	200	3	15	50	1	3	15	50	1	3	15	50	1	1	15	49	12	1	15	49	12
A5	2	77	strings_v1	201	1	15	49	12	3	15	50	1	3	15	50	1	1	15	49	12	4	14	47	10
A5	2	77	strings_v1	202	1	15	49	12	1	15	49	12	3	15	50	1	4	14	47	10	4	14	47	10
G5	2	78	strings_v1	203	4	14	47	10	1	15	49	12	1	15	49	12	4	14	47	10	7	13	45	8
G5	2	78	strings_v1	204	4	14	47	10	4	14	47	10	1	15	49	12	7	13	45	8	7	13	45	8
F5	2	79	strings_v1	205	7	13	45	8	4	14	47	10	4	14	47	10	7	13	45	8	3	13	43	6
F5	2	79	strings_v1	206	7	13	45	8	7	13	45	8	4	14	47	10	3	13	43	6	3	13	43	6
Ef5	2	80	strings_v1	207	3	13	43	6	7	13	45	8	7	13	45	8	3	13	43	6	1	13	42	5
Ef5	2	80	strings_v1	208	3	13	43	6	3	13	43	6	7	13	45	8	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	209	1	13	42	5	3	13	43	6	3	13	43	6	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	210	1	13	42	5	1	13	42	5	3	13	43	6	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	211	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	212	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	213	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	214	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	215	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	216	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	217	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	218	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	219	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	220	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	221	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	222	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5
D5	16	82	strings_v1	223	1	13	42	5	1	13	42	5	1	13	42	5	1	13	42	5	6	12	41	4
D5	16	82	strings_v1	224	1	13	42	5	1	13	42	5	1	13	42	5	6	12	41	4	6	12	41	4
Cs5	16	85	strings_v1	225	6	12	41	4	1	13	42	5	1	13	42	5	6	12	41	4	6	12	41	4
